node,neigh,neicount,bunbo,ave,senderfreq,bunsan,stdhensa,hendoukeisu,max,min,max-min,seiki,force,0-1hantei,ave-hantei,bunsan-hanteo,hendoukeisuu-hantei,seiki+hendoukeisuu
1,0,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
2,0,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
1,2,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,2,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
4,2,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
6,2,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
3,4,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
1,4,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,4,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
8,4,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
2,4,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
7,4,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
9,4,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
8,9,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,9,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
10,9,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
13,9,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
6,9,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
4,9,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
12,9,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
14,9,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
12,13,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
9,13,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
14,13,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
16,13,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
10,13,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
8,13,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
15,13,1,1,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
13,14,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
10,14,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
9,14,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
16,14,2,2,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
9,10,4,4,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
6,10,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
14,10,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,10,4,4,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
13,10,3,3,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
5,6,5,5,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
10,6,4,4,1.000000,1.000000,0.000000,0.000000,0.000000,1,1,0,1.000000,f,s,s,s,s,s
